id = 126
editor = DM

### Experiment

collaboration = HALLA
experiment = 
process = ep2epgamma
exptype = fixed target
year = 2017
reference = arXiv:1703.09442

### Scattering Process

frame = Trento

in1energy = 5.55
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Spin Difference Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
y1errornormalization = 0.042
# normalization  errors are added in quadrature from publication
y1errornormalizationlinear = 0.1
# normalization errors from different sources are added linearly


### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = t
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# HALL A 2017 XLU
#
#xB       Q2     t     phi     XLU   stat
###########################################################
table =
0.361 1.75 -0.363 142.5 5.59 3.0
0.361 1.75 -0.363 157.5 0.878 3.5
0.361 1.75 -0.363 172.5 -3.33 3.9
0.361 1.75 -0.363 187.5 1.06 4.0
0.361 1.75 -0.363 202.5 2.29 3.5
0.361 1.75 -0.363 217.5 -3.17 3.0
 0.361 1.75 -0.363 232.5 0.798 2.9
0.361 1.75 -0.363 247.5 -1.75 3.1
0.361 1.75 -0.363 262.5 -6.48 3.2
0.361 1.75 -0.363 277.5 -6.96 3.3
0.361 1.75 -0.363 292.5 -4.59 3.2
0.361 1.75 -0.363 307.5 -9.66 3.4
0.361 1.75 -0.363 322.5 -13 3.7
0.361 1.75 -0.363 337.5 -6.22 4.4
0.361 1.75 -0.363 352.5 -6.3 5.1
