id = 91
editor = KK

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1501.07052
inspiretex = Pisano:2015iqa
reference2 = bin averages from Silvia Niccolai
 1.97907  0.247267  0.135801  160  0.033756  0.059323  0.01
 1.97907  0.247267  0.135801  199  0.024287  0.060399  0.01
 1.97907  0.247267  0.135801  238 -0.210960  0.048048  0.02
 1.97907  0.247267  0.135801  270 -0.232754  0.036477  0.01
 1.97907  0.247267  0.135801  308 -0.155100  0.028140  0.01
 1.97907  0.247267  0.135801  340 -0.066593  0.029737  0.00
 2.04773  0.258542  0.227796   21  0.056282  0.047237  0.01
 2.04773  0.258542  0.227796   53  0.221996  0.042244  0.01
 2.04773  0.258542  0.227796   91  0.272288  0.044124  0.01
 2.04773  0.258542  0.227796  124  0.067230  0.055331  0.01
 2.04773  0.258542  0.227796  161  0.030911  0.060364  0.01
 2.04773  0.258542  0.227796  199  0.024948  0.062610  0.01
 2.04773  0.258542  0.227796  235 -0.107823  0.057562  0.01
 2.04773  0.258542  0.227796  270 -0.303265  0.043734  0.01
 2.04773  0.258542  0.227796  307 -0.277808  0.043057  0.02
 2.04773  0.258542  0.227796  340 -0.047433  0.044740  0.01
 1.94335  0.257897  0.457348   26  0.226358  0.163833  0.01
 1.94335  0.257897  0.457348   56  0.210020  0.064065  0.02
 1.94335  0.257897  0.457348   90  0.143358  0.056113  0.01
 1.94335  0.257897  0.457348  127  0.089109  0.062887  0.04
 1.94335  0.257897  0.457348  163  0.061940  0.043796  0.01
 1.94335  0.257897  0.457348  197  0.021398  0.052019  0.01
 1.94335  0.257897  0.457348  233 -0.130562  0.071747  0.02
 1.94335  0.257897  0.457348  271 -0.191456  0.048931  0.03
 1.94335  0.257897  0.457348  303 -0.297426  0.062514  0.03
 1.94335  0.257897  0.457348  334 -0.206224  0.117706  0.03
 1.90114  0.257321  1.194570   17 -0.038109  0.045048  0.02
 1.90114  0.257321  1.194570   54  0.097868  0.058783  0.02
 1.90114  0.257321  1.194570   87  0.051815  0.066785  0.03
 1.90114  0.257321  1.194570  128  0.140022  0.091736  0.03
 1.90114  0.257321  1.194570  164  0.034271  0.046749  0.01
 1.90114  0.257321  1.194570  195 -0.030664  0.066355  0.02
 1.90114  0.257321  1.194570  238 -0.048459  0.084062  0.02
 1.90114  0.257321  1.194570  270 -0.022311  0.053777  0.02
 1.90114  0.257321  1.194570  307 -0.063425  0.065152  0.01
 1.90114  0.257321  1.194570  343  0.006974  0.041619  0.01
 2.36222  0.254504  0.137780   20 -0.009471  0.044938  0.01
 2.36222  0.254504  0.137780   53  0.078636  0.045023  0.02
 2.36222  0.254504  0.137780   88  0.174569  0.053447  0.01
 2.36222  0.254504  0.137780  125  0.204924  0.078207  0.02
 2.36222  0.254504  0.137780  162  0.204164  0.100296  0.03
 2.36222  0.254504  0.137780  199 -0.057607  0.086562  0.04
 2.36222  0.254504  0.137780  237 -0.282399  0.071021  0.02
 2.36222  0.254504  0.137780  271 -0.209385  0.058043  0.02
 2.36222  0.254504  0.137780  307 -0.132926  0.042435  0.01
 2.36222  0.254504  0.137780  340  0.000782  0.050902  0.02
 2.44750  0.264769  0.228628   24  0.032755  0.076599  0.02
 2.44750  0.264769  0.228628   53  0.120958  0.050342  0.02
 2.44750  0.264769  0.228628   90  0.199482  0.063055  0.02
 2.44750  0.264769  0.228628  126  0.165842  0.087774  0.02
 2.44750  0.264769  0.228628  161  0.101187  0.102911  0.03
 2.44750  0.264769  0.228628  199  0.027730  0.087913  0.02
 2.44750  0.264769  0.228628  236 -0.164206  0.081185  0.02
 2.44750  0.264769  0.228628  270 -0.224139  0.063781  0.03
 2.44750  0.264769  0.228628  308 -0.146008  0.050392  0.02
 2.44750  0.264769  0.228628  336  0.001365  0.073678  0.01
 2.45794  0.265476  0.443085   31 -0.182944  0.225559  0.09
 2.45794  0.265476  0.443085   52  0.178213  0.060007  0.01
 2.45794  0.265476  0.443085   91  0.207442  0.070049  0.02
 2.45794  0.265476  0.443085  122  0.234604  0.099523  0.03
 2.45794  0.265476  0.443085  159 -0.142956  0.133252  0.04
 2.45794  0.265476  0.443085  199 -0.013187  0.116994  0.04
 2.45794  0.265476  0.443085  235 -0.273740  0.095246  0.03
 2.45794  0.265476  0.443085  270 -0.255446  0.072871  0.02
 2.45794  0.265476  0.443085  307 -0.239213  0.065251  0.03
 2.45794  0.265476  0.443085  330 -0.145144  0.187165  0.07
 2.43020  0.262357  1.141540   20 -0.005956  0.077822  0.02
 2.43020  0.262357  1.141540   52  0.148071  0.091458  0.03
 2.43020  0.262357  1.141540   88  0.184212  0.195659  0.12
 2.43020  0.262357  1.141540  273 -0.305968  0.169919  0.05
 2.43020  0.262357  1.141540  308 -0.150442  0.095513  0.04
 2.43020  0.262357  1.141540  340 -0.040833  0.073124  0.02
 2.52890  0.318722  0.157822   19  0.137213  0.054948  0.02
 2.52890  0.318722  0.157822   50  0.251209  0.070431  0.03
 2.52890  0.318722  0.157822   88  0.383501  0.142892  0.08
 2.52890  0.318722  0.157822  240 -0.124542  0.217818  0.01
 2.52890  0.318722  0.157822  273 -0.108516  0.152252  0.05
 2.52890  0.318722  0.157822  309 -0.208719  0.066632  0.02
 2.52890  0.318722  0.157822  342 -0.117081  0.059529  0.02
 2.67020  0.337185  0.240100   19  0.080946  0.029122  0.00
 2.67020  0.337185  0.240100   51  0.206318  0.034722  0.01
 2.67020  0.337185  0.240100   89  0.167206  0.053953  0.02
 2.67020  0.337185  0.240100  122  0.138209  0.066461  0.01
 2.67020  0.337185  0.240100  161  0.150275  0.117635  0.01
 2.67020  0.337185  0.240100  201 -0.066767  0.095115  0.03
 2.67020  0.337185  0.240100  238 -0.198100  0.071237  0.02
 2.67020  0.337185  0.240100  271 -0.259418  0.055491  0.03
 2.67020  0.337185  0.240100  309 -0.254252  0.034776  0.02
 2.67020  0.337185  0.240100  341 -0.033589  0.028584  0.00
 2.66546  0.349578  0.455835   20  0.094118  0.026562  0.01
 2.66546  0.349578  0.455835   51  0.202786  0.028410  0.01
 2.66546  0.349578  0.455835   90  0.151758  0.047702  0.02
 2.66546  0.349578  0.455835  126  0.074135  0.046081  0.01
 2.66546  0.349578  0.455835  162  0.068465  0.058107  0.01
 2.66546  0.349578  0.455835  202 -0.121465  0.056638  0.02
 2.66546  0.349578  0.455835  232 -0.059372  0.061874  0.01
 2.66546  0.349578  0.455835  271 -0.220012  0.047817  0.02
 2.66546  0.349578  0.455835  309 -0.203723  0.030246  0.01
 2.66546  0.349578  0.455835  340 -0.142528  0.024985  0.01
 2.46831  0.349998  1.191560   20  0.020438  0.030922  0.00
 2.46831  0.349998  1.191560   52  0.136587  0.040388  0.01
 2.46831  0.349998  1.191560   87  0.120654  0.057950  0.02
 2.46831  0.349998  1.191560  129  0.086082  0.058117  0.03
 2.46831  0.349998  1.191560  161  0.003424  0.061282  0.02
 2.46831  0.349998  1.191560  201  0.002206  0.061660  0.02
 2.46831  0.349998  1.191560  236 -0.001179  0.064280  0.02
 2.46831  0.349998  1.191560  269 -0.034976  0.045325  0.01
 2.46831  0.349998  1.191560  308 -0.103533  0.046006  0.01
 2.46831  0.349998  1.191560  340 -0.014874  0.027446  0.00
 3.15132  0.415190  0.271405   19 -0.226512  0.175761  0.02
 3.15132  0.415190  0.271405   51  0.221026  0.208376  0.09
 3.31407  0.442331  0.506819   17  0.079282  0.035605  0.01
 3.31407  0.442331  0.506819   52  0.215816  0.047191  0.02
 3.31407  0.442331  0.506819   89  0.241955  0.074826  0.03
 3.31407  0.442331  0.506819  124  0.127536  0.086008  0.05
 3.31407  0.442331  0.506819  155 -0.075402  0.236477  0.08
 3.31407  0.442331  0.506819  207 -0.431083  0.231231  0.06
 3.31407  0.442331  0.506819  238 -0.031058  0.105390  0.05
 3.31407  0.442331  0.506819  271 -0.072030  0.083199  0.02
 3.31407  0.442331  0.506819  310 -0.274236  0.049032  0.02
 3.31407  0.442331  0.506819  342 -0.069341  0.034944  0.01
 3.31725  0.461373  1.159000   18  0.063049  0.031000  0.01
 3.31725  0.461373  1.159000   52  0.213430  0.053166  0.02
 3.31725  0.461373  1.159000   89  0.002514  0.069564  0.02
 3.31725  0.461373  1.159000  126  0.113212  0.056452  0.01
 3.31725  0.461373  1.159000  159  0.075761  0.111988  0.09
 3.31725  0.461373  1.159000  203 -0.091393  0.125372  0.03
 3.31725  0.461373  1.159000  236 -0.058488  0.066751  0.01
 3.31725  0.461373  1.159000  269 -0.011581  0.057557  0.02
 3.31725  0.461373  1.159000  310 -0.302483  0.061451  0.04
 3.31725  0.461373  1.159000  342 -0.070557  0.027362  0.01
