id = 89
editor = KK

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1501.07052
inspiretex = Pisano:2015iqa

### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV

in2polarizationvector = L
in2polarization = +1
in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{UL}


y1name = TSA
y1namelong = Longitudinally Polarized Target Spin Asymmetry
2.04  0.254  0.44   90  0.29  0.07  0.04
1.82  0.255  0.45  127  0.14  0.08  0.02
1.73  0.252  0.48  163  0.12  0.05  0.01
1.74  0.254  0.47  197 -0.13  0.06  0.03
1.88  0.251  0.44  233 -0.12  0.09  0.04
1.99  0.253  0.46  271 -0.17  0.06  0.02
2.20  0.274  0.45  303 -0.09  0.07  0.01
2.36  0.287  0.40  334 -0.04  0.14  0.02
2.03  0.261  1.41   17 -0.08  0.05  0.01
1.98  0.258  1.12   54  0.14  0.07  0.02
1.78  0.256  1.18   87  0.20  0.08  0.04
1.82  0.261  1.13  128  0.46  0.12  0.06
1.79  0.252  1.03  164  0.16  0.06  0.02
1.78  0.254  1.03  195 -0.09  0.08  0.03
1.84  0.257  1.23  238 -0.30  0.11  0.04
1.75  0.257  1.14  270 -0.26  0.07  0.04
2.01  0.260  1.12  307 -0.20  0.08  0.02
2.03  0.261  1.40  343  0.02  0.05  0.02
2.45  0.265  0.13   20  0.02  0.05  0.01
2.36  0.253  0.14   53  0.01  0.05  0.02
2.32  0.249  0.14   88 -0.01  0.07  0.01
2.30  0.246  0.14  125  0.14  0.10  0.01
2.26  0.242  0.14  162  0.25  0.12  0.05
2.27  0.242  0.14  199  0.07  0.10  0.04
2.28  0.243  0.14  237 -0.17  0.09  0.02
2.32  0.248  0.14  271 -0.15  0.07  0.01
2.36  0.253  0.14  307 -0.10  0.05  0.01
2.45  0.265  0.14  340 -0.07  0.06  0.02
2.57  0.281  0.22   24  0.03  0.09  0.03
2.50  0.269  0.23   53  0.09  0.06  0.02
2.40  0.258  0.23   90  0.07  0.08  0.01
2.35  0.252  0.23  126  0.10  0.11  0.02
2.36  0.254  0.23  161 -0.18  0.12  0.02
2.37  0.254  0.23  199  0.15  0.11  0.01
2.36  0.254  0.23  236 -0.23  0.10  0.02
2.42  0.260  0.23  270 -0.14  0.08  0.02
2.48  0.266  0.23  308 -0.21  0.06  0.01
2.56  0.279  0.22  336 -0.09  0.08  0.02
2.60  0.284  0.41   31 -0.01  0.23  0.06
2.55  0.275  0.44   52  0.07  0.07  0.02
2.45  0.264  0.44   91  0.04  0.08  0.04
2.37  0.254  0.44  122  0.15  0.12  0.01
2.33  0.250  0.41  159 -0.24  0.16  0.04
2.36  0.253  0.41  199  0.00  0.14  0.03
2.36  0.254  0.43  235 -0.05  0.12  0.03
2.43  0.261  0.45  270 -0.12  0.09  0.03
2.54  0.274  0.45  307 -0.22  0.08  0.03
2.61  0.284  0.42  330 -0.03  0.18  0.03
2.43  0.261  1.22   20  0.08  0.09  0.01
2.45  0.265  1.06   52 -0.00  0.11  0.03
2.37  0.255  0.96   88  0.21  0.22  0.05
2.43  0.261  0.96  273  0.09  0.20  0.08
2.44  0.262  1.08  308 -0.04  0.11  0.03
2.46  0.265  1.23  340 -0.09  0.09  0.01
2.55  0.319  0.16   19  0.07  0.07  0.01
2.50  0.319  0.16   50  0.10  0.09  0.01
2.53  0.320  0.16   88  0.16  0.17  0.03
2.55  0.317  0.16  240 -0.19  0.26  0.05
2.59  0.321  0.16  273 -0.24  0.17  0.07
2.53  0.319  0.16  309 -0.11  0.08  0.01
2.55  0.318  0.16  342  0.02  0.07  0.01
2.72  0.338  0.24   19  0.10  0.03  0.01
2.68  0.338  0.24   51  0.11  0.04  0.01
2.67  0.337  0.24   89  0.15  0.07  0.02
2.43  0.337  0.25  122  0.19  0.08  0.01
2.47  0.326  0.25  161  0.25  0.14  0.03
2.55  0.322  0.25  201 -0.25  0.11  0.06
2.55  0.338  0.24  238 -0.18  0.09  0.01
2.73  0.337  0.24  271 -0.28  0.07  0.02
2.69  0.336  0.24  309 -0.16  0.04  0.01
2.68  0.338  0.24  341 -0.08  0.03  0.01
2.81  0.356  0.44   20  0.04  0.03  0.01
2.74  0.346  0.46   51  0.13  0.03  0.01
2.68  0.346  0.45   90  0.18  0.06  0.02
2.24  0.349  0.47  126  0.19  0.06  0.03
2.25  0.339  0.49  162  0.25  0.07  0.03
2.23  0.339  0.49  202 -0.15  0.07  0.02
2.43  0.347  0.47  232 -0.21  0.08  0.03
2.72  0.344  0.47  271 -0.26  0.06  0.02
2.77  0.347  0.45  309 -0.18  0.04  0.01
2.77  0.355  0.45  340 -0.07  0.03  0.01
2.59  0.352  1.30   20  0.04  0.04  0.01
2.59  0.348  1.09   52  0.15  0.05  0.02
2.28  0.350  1.28   87  0.09  0.08  0.06
2.27  0.353  1.09  129  0.19  0.08  0.05
2.33  0.345  1.06  161  0.21  0.08  0.03
2.29  0.347  1.06  201 -0.19  0.08  0.03
2.33  0.352  1.23  236 -0.25  0.09  0.06
2.25  0.347  1.23  269 -0.19  0.06  0.04
2.61  0.349  1.09  308 -0.14  0.06  0.02
2.57  0.352  1.28  340 -0.07  0.03  0.01
3.21  0.414  0.27   19  0.00  0.00  0.00
3.16  0.414  0.27   51 -0.04  0.26  0.08
3.36  0.443  0.51   17 -0.02  0.04  0.01
3.41  0.444  0.49   52  0.13  0.06  0.02
3.25  0.448  0.49   89  0.27  0.09  0.04
2.84  0.430  0.53  124  0.27  0.11  0.03
2.93  0.420  0.57  155  0.07  0.31  0.08
2.94  0.421  0.58  207 -0.25  0.28  0.07
2.95  0.435  0.50  238 -0.18  0.13  0.05
3.33  0.440  0.48  271 -0.24  0.10  0.01
3.46  0.445  0.50  310 -0.23  0.06  0.01
3.35  0.443  0.52  342 -0.16  0.04  0.01
3.37  0.465  1.12   18  0.08  0.04  0.01
3.46  0.465  1.13   52  0.16  0.07  0.03
3.18  0.459  1.27   89  0.15  0.10  0.05
3.13  0.456  1.15  126  0.04  0.08  0.05
3.30  0.434  1.18  159  0.12  0.15  0.04
3.11  0.430  1.09  203  0.00  0.16  0.06
3.16  0.455  1.25  236 -0.30  0.10  0.06
3.12  0.454  1.35  269 -0.21  0.09  0.05
3.49  0.467  1.10  310 -0.25  0.07  0.03
3.36  0.464  1.15  342 -0.08  0.04  0.01
