id = 143
editor = MC



### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2018
#reference =  
inspiretex = Georges:2018kyi
reference2 = FT analysis with MC error propagation by MC


### Scattering Process

frame = BMK

in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 

y1name = XUUw
y1long = Weighted cross-section
y1unit = nb/GeV^4
y1value = column5
y1errorstatistic = column6
#y1errorsystematic = column7


### x-axes

x1name = in1energy
x1unit = GeV
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = xB
x3unit = 1
x3value = column3

x4name = t
x4unit = GeV^2
x4value = column4

x5name = FTn
x5unit = 1
x5value = column7

###Data

#     E    Q2     xB       t     FTval     FTerr  FTn
#####################################################
  8.847  5.37  0.486 -0.5696  0.001802  0.000054    0
  8.847  5.38  0.486 -0.6547  0.001348  0.000063    0
 10.992  7.04  0.494 -0.4325  0.010792  1.581651    0
 10.992  7.09  0.498 -0.5256  0.016142  1.443973    0
 10.992  7.12  0.499 -0.6129  0.025330  1.280820    0
 10.992  7.11  0.499 -0.6979  0.025217  1.264098    0
 10.992  7.10  0.498 -0.8556  0.018663  0.739291    0
  8.521  5.60  0.610 -0.7645  0.006584  0.763146    0
  8.521  5.62  0.612 -0.9042 -0.011780  0.754475    0
  8.521  5.64  0.615 -1.0482 -0.027834  0.816363    0
  8.521  5.65  0.617 -1.1896  0.020508  0.868480    0
  8.521  5.66  0.616 -1.3732 -0.001702  0.693074    0
 10.591  8.44  0.608 -0.7911  0.004226  0.368803    0
 10.591  8.45  0.609 -0.9120  0.001147  0.334676    0
 10.591  8.48  0.611 -1.0371  0.007312  0.321450    0
 10.591  8.50  0.613 -1.1631  0.000415  0.358224    0
 10.591  8.51  0.613 -1.3282  3.164854  1.492988    0
 
  7.383  3.17  0.363 -0.2108  0.000110  0.000324    1
  7.383  3.17  0.363 -0.2966  0.001842  0.000279    1
  7.383  3.18  0.365 -0.3849  0.003885  0.000282    1
  7.383  3.18  0.365 -0.4709  0.004234  0.000300    1
  7.383  3.18  0.364 -0.5858  0.005359  0.000648    1
  8.521  3.65  0.367 -0.2046  0.000105  0.000209    1
  8.521  3.65  0.367 -0.2658  0.001137  0.000190    1
  8.521  3.67  0.369 -0.3303  0.001849  0.000181    1
  8.521  3.68  0.370 -0.3925  0.001834  0.000199    1
  8.521  3.68  0.370 -0.4805  0.002370  0.000236    1
 10.591  4.53  0.369 -0.2094  0.000252  0.000143    1
 10.591  4.55  0.370 -0.2719  0.000906  0.000134    1
 10.591  4.57  0.372 -0.3356  0.000907  0.000125    1
 10.591  4.58  0.373 -0.3988  0.000882  0.000135    1
 10.591  4.57  0.371 -0.4834  0.000850  0.000147    1
  4.487  2.71  0.483 -0.3481  0.004563  0.000667    1
  4.487  2.71  0.483 -0.3906  0.004769  0.000643    1
  4.487  2.71  0.484 -0.4350  0.006231  0.000735    1
  4.487  2.71  0.485 -0.4797  0.007601  0.001027    1
  4.487  2.72  0.485 -0.5399  0.010876  0.002982    1
  8.851  4.50  0.497 -0.4098  0.000498  0.000060    1
  8.851  4.53  0.501 -0.4796  0.000736  0.000059    1
  8.851  4.56  0.504 -0.5475  0.000947  0.000064    1
  8.851  4.57  0.506 -0.6138  0.001236  0.000072    1
  8.851  4.59  0.508 -0.7073  0.001184  0.000061    1
  8.847  5.33  0.482 -0.3854  0.000085  0.000070    1
  8.847  5.34  0.483 -0.4456  0.000227  0.000067    1
  8.847  5.36  0.485 -0.5085  0.000416  0.000072    1
  8.847  5.37  0.486 -0.5696  0.000547  0.000089    1
  8.847  5.38  0.486 -0.6547  0.000533  0.000113    1
 10.992  7.04  0.494 -0.4325  0.036307  2.117214    1
 10.992  7.09  0.498 -0.5256  0.028143  1.933342    1
 10.992  7.12  0.499 -0.6129  0.033049  1.814488    1
 10.992  7.11  0.499 -0.6979  0.048380  1.733648    1
 10.992  7.10  0.498 -0.8556  0.033807  1.052166    1
  8.521  5.60  0.610 -0.7645 -0.005281  1.088437    1
  8.521  5.62  0.612 -0.9042 -0.005501  1.116086    1
  8.521  5.64  0.615 -1.0482 -0.004289  1.210589    1
  8.521  5.65  0.617 -1.1896  0.025642  1.301455    1
  8.521  5.66  0.616 -1.3732  0.001417  1.064048    1
 10.591  8.44  0.608 -0.7911  0.004126  0.506979    1
 10.591  8.45  0.609 -0.9120 -0.007752  0.481259    1
 10.591  8.48  0.611 -1.0371  0.005038  0.483822    1
 10.591  8.50  0.613 -1.1631 -0.008919  0.577133    1
 10.591  8.51  0.613 -1.3282  5.461616  2.435621    1
