id = 82
editor = KK



### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2014
reference =  private communication
reference2 = from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is given to us



### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 ALU
#
# Q2        xB       -t       phi    ALU      stat_err_ALU
###########################################################
 1.5642   0.1823   0.2302   198.8630  -0.1182   0.0740
 1.5642   0.1823   0.2302   235.8380  -0.1779   0.0942
 1.5642   0.1823   0.2302   269.8610  -0.1165   0.1671
 2.6655   0.3496   0.4558   19.2325   0.0941   0.0266
 2.6655   0.3496   0.4558   52.1529   0.2028   0.0284
 2.6655   0.3496   0.4558   89.1628   0.1518   0.0477
 2.6655   0.3496   0.4558   125.9660   0.0741   0.0461
 2.6655   0.3496   0.4558   161.8830   0.0685   0.0581
 2.6655   0.3496   0.4558   198.8630  -0.1215   0.0566
 2.6655   0.3496   0.4558   235.8380  -0.0594   0.0619
 2.6655   0.3496   0.4558   269.8610  -0.2200   0.0478
 2.6655   0.3496   0.4558   308.0970  -0.2037   0.0302
 2.6655   0.3496   0.4558   340.6940  -0.1425   0.0250
 3.3141   0.4423   0.5068   19.2325   0.0793   0.0356
 3.3141   0.4423   0.5068   52.1529   0.2158   0.0472
 3.3141   0.4423   0.5068   89.1628   0.2420   0.0748
 3.3141   0.4423   0.5068   125.9660   0.1275   0.0860
 3.3141   0.4423   0.5068   161.8830  -0.0754   0.2365
 3.3141   0.4423   0.5068   198.8630  -0.4311   0.2312
 3.3141   0.4423   0.5068   235.8380  -0.0311   0.1054
 3.3141   0.4423   0.5068   269.8610  -0.0720   0.0832
 3.3141   0.4423   0.5068   308.0970  -0.2742   0.0490
 3.3141   0.4423   0.5068   340.6940  -0.0693   0.0349
 1.9791   0.2473   0.1358   19.2325   0.0374   0.0265
 1.9791   0.2473   0.1358   52.1529   0.1739   0.0295
 1.9791   0.2473   0.1358   89.1628   0.2083   0.0335
 1.9791   0.2473   0.1358   125.9660   0.1650   0.0502
 1.9791   0.2473   0.1358   161.8830   0.0338   0.0593
 1.9791   0.2473   0.1358   198.8630   0.0243   0.0604
 1.9791   0.2473   0.1358   235.8380  -0.2110   0.0480
 1.9791   0.2473   0.1358   269.8610  -0.2328   0.0365
 1.9791   0.2473   0.1358   308.0970  -0.1551   0.0281
 1.9791   0.2473   0.1358   340.6940  -0.0666   0.0297
 1.4702   0.1764   0.4756   89.1628   0.3954   0.2386
 1.4702   0.1764   0.4756   125.9660   0.1853   0.1119
 1.4702   0.1764   0.4756   161.8830   0.2106   0.0692
 1.4702   0.1764   0.4756   198.8630  -0.0666   0.0823
 1.4702   0.1764   0.4756   235.8380  -0.2159   0.1158
 1.4702   0.1764   0.4756   269.8610  -0.0448   0.2093
 2.6702   0.3372   0.2401   19.2325   0.0809   0.0291
 2.6702   0.3372   0.2401   52.1529   0.2063   0.0347
 2.6702   0.3372   0.2401   89.1628   0.1672   0.0540
 2.6702   0.3372   0.2401   125.9660   0.1382   0.0665
 2.6702   0.3372   0.2401   161.8830   0.1503   0.1176
 2.6702   0.3372   0.2401   198.8630  -0.0668   0.0951
 2.6702   0.3372   0.2401   235.8380  -0.1981   0.0712
 2.6702   0.3372   0.2401   269.8610  -0.2594   0.0555
 2.6702   0.3372   0.2401   308.0970  -0.2543   0.0348
 2.6702   0.3372   0.2401   340.6940  -0.0336   0.0286
 2.4302   0.2624   1.1415   19.2325  -0.0060   0.0778
 2.4302   0.2624   1.1415   52.1529   0.1481   0.0915
 2.4302   0.2624   1.1415   89.1628   0.1842   0.1957
 2.4302   0.2624   1.1415   269.8610  -0.3060   0.1699
 2.4302   0.2624   1.1415   308.0970  -0.1504   0.0955
 2.4302   0.2624   1.1415   340.6940  -0.0408   0.0731
 1.4603   0.1756   1.0816   19.2325   0.1357   0.1574
 1.4603   0.1756   1.0816   52.1529   0.0101   0.1413
 1.4603   0.1756   1.0816   89.1628   0.1255   0.1535
 1.4603   0.1756   1.0816   125.9660   0.2044   0.1935
 1.4603   0.1756   1.0816   161.8830  -0.0915   0.0755
 1.4603   0.1756   1.0816   198.8630   0.0634   0.1403
 1.4603   0.1756   1.0816   235.8380  -0.2163   0.1655
 1.4603   0.1756   1.0816   269.8610   0.0378   0.1017
 1.4603   0.1756   1.0816   308.0970   0.0109   0.1442
 1.4603   0.1756   1.0816   340.6940  -0.1047   0.1776
 2.4683   0.3500   1.1916   19.2325   0.0204   0.0309
 2.4683   0.3500   1.1916   52.1529   0.1366   0.0404
 2.4683   0.3500   1.1916   89.1628   0.1207   0.0580
 2.4683   0.3500   1.1916   125.9660   0.0861   0.0581
 2.4683   0.3500   1.1916   161.8830   0.0034   0.0613
 2.4683   0.3500   1.1916   198.8630   0.0022   0.0617
 2.4683   0.3500   1.1916   235.8380  -0.0012   0.0643
 2.4683   0.3500   1.1916   269.8610  -0.0350   0.0453
 2.4683   0.3500   1.1916   308.0970  -0.1035   0.0460
 2.4683   0.3500   1.1916   340.6940  -0.0149   0.0274
 2.3622   0.2545   0.1378   19.2325  -0.0095   0.0449
 2.3622   0.2545   0.1378   52.1529   0.0786   0.0450
 2.3622   0.2545   0.1378   89.1628   0.1746   0.0534
 2.3622   0.2545   0.1378   125.9660   0.2049   0.0782
 2.3622   0.2545   0.1378   161.8830   0.2042   0.1003
 2.3622   0.2545   0.1378   198.8630  -0.0576   0.0866
 2.3622   0.2545   0.1378   235.8380  -0.2824   0.0710
 2.3622   0.2545   0.1378   269.8610  -0.2094   0.0580
 2.3622   0.2545   0.1378   308.0970  -0.1329   0.0424
 2.3622   0.2545   0.1378   340.6940   0.0008   0.0509
 3.1513   0.4152   0.2714   19.2325  -0.2265   0.1758
 3.1513   0.4152   0.2714   52.1529   0.2210   0.2084
          
 2.4475   0.2648   0.2286   19.2325   0.0328   0.0766
 2.4475   0.2648   0.2286   52.1529   0.1210   0.0503
 2.4475   0.2648   0.2286   89.1628   0.1995   0.0631
 2.4475   0.2648   0.2286   125.9660   0.1658   0.0878
 2.4475   0.2648   0.2286   161.8830   0.1012   0.1029
 2.4475   0.2648   0.2286   198.8630   0.0277   0.0879
 2.4475   0.2648   0.2286   235.8380  -0.1642   0.0812
 2.4475   0.2648   0.2286   269.8610  -0.2241   0.0638
 2.4475   0.2648   0.2286   308.0970  -0.1460   0.0504
 2.4475   0.2648   0.2286   340.6940   0.0014   0.0737
 2.0477   0.2585   0.2278   19.2325   0.0563   0.0472
 2.0477   0.2585   0.2278   52.1529   0.2220   0.0422
 2.0477   0.2585   0.2278   89.1628   0.2723   0.0441
 2.0477   0.2585   0.2278   125.9660   0.0672   0.0553
 2.0477   0.2585   0.2278   161.8830   0.0309   0.0604
 2.0477   0.2585   0.2278   198.8630   0.0249   0.0626
 2.0477   0.2585   0.2278   235.8380  -0.1078   0.0576
 2.0477   0.2585   0.2278   269.8610  -0.3033   0.0437
 2.0477   0.2585   0.2278   308.0970  -0.2778   0.0431
 2.0477   0.2585   0.2278   340.6940  -0.0474   0.0447
 1.9433   0.2579   0.4573   19.2325   0.2264   0.1638
 1.9433   0.2579   0.4573   52.1529   0.2100   0.0641
 1.9433   0.2579   0.4573   89.1628   0.1434   0.0561
 1.9433   0.2579   0.4573   125.9660   0.0891   0.0629
 1.9433   0.2579   0.4573   161.8830   0.0619   0.0438
 1.9433   0.2579   0.4573   198.8630   0.0214   0.0520
 1.9433   0.2579   0.4573   235.8380  -0.1306   0.0717
 1.9433   0.2579   0.4573   269.8610  -0.1915   0.0489
 1.9433   0.2579   0.4573   308.0970  -0.2974   0.0625
 1.9433   0.2579   0.4573   340.6940  -0.2062   0.1177
 1.5535   0.1811   0.1287   19.2325   0.3740   0.2311
 1.5535   0.1811   0.1287   52.1529   0.3386   0.1139
 1.5535   0.1811   0.1287   89.1628   0.2274   0.0614
 1.5535   0.1811   0.1287   125.9660   0.1350   0.0530
 1.5535   0.1811   0.1287   161.8830   0.0532   0.0516
 1.5535   0.1811   0.1287   198.8630  -0.0521   0.0497
 1.5535   0.1811   0.1287   235.8380  -0.2122   0.0554
 1.5535   0.1811   0.1287   269.8610  -0.2759   0.0646
 1.5535   0.1811   0.1287   308.0970  -0.1477   0.1012
 2.4579   0.2655   0.4431   19.2325  -0.1829   0.2256
 2.4579   0.2655   0.4431   52.1529   0.1782   0.0600
 2.4579   0.2655   0.4431   89.1628   0.2074   0.0700
 2.4579   0.2655   0.4431   125.9660   0.2346   0.0995
 2.4579   0.2655   0.4431   161.8830  -0.1430   0.1333
 2.4579   0.2655   0.4431   198.8630  -0.0132   0.1170
 2.4579   0.2655   0.4431   235.8380  -0.2737   0.0952
 2.4579   0.2655   0.4431   269.8610  -0.2554   0.0729
 2.4579   0.2655   0.4431   308.0970  -0.2392   0.0653
 2.4579   0.2655   0.4431   340.6940  -0.1451   0.1872
