id = 92
editor = KK

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1501.07052
reference2 = bin averages from Silvia Niccolai
2.36  0.255  0.14  340 -0.07  0.06  0.02
2.45  0.265  0.23   24  0.03  0.09  0.03
2.45  0.265  0.23   53  0.09  0.06  0.02
2.45  0.265  0.23   90  0.07  0.08  0.01
2.45  0.265  0.23  126  0.10  0.11  0.02
2.45  0.265  0.23  161 -0.18  0.12  0.02
2.45  0.265  0.23  199  0.15  0.11  0.01
2.45  0.265  0.23  236 -0.23  0.10  0.02
2.45  0.265  0.23  270 -0.14  0.08  0.02
2.45  0.265  0.23  308 -0.21  0.06  0.01
2.45  0.265  0.23  336 -0.09  0.08  0.02
2.46  0.266  0.44   31 -0.01  0.23  0.06
2.46  0.266  0.44   52  0.07  0.07  0.02
2.46  0.266  0.44   91  0.04  0.08  0.04
2.46  0.266  0.44  122  0.15  0.12  0.01
2.46  0.266  0.44  159 -0.24  0.16  0.04
2.46  0.266  0.44  199  0.00  0.14  0.03
2.46  0.266  0.44  235 -0.05  0.12  0.03
2.46  0.266  0.44  270 -0.12  0.09  0.03
2.46  0.266  0.44  307 -0.22  0.08  0.03
2.46  0.266  0.44  330 -0.03  0.18  0.03
2.43  0.262  1.14   20  0.08  0.09  0.01
2.43  0.262  1.14   52 -0.00  0.11  0.03
2.43  0.262  1.14   88  0.21  0.22  0.05
2.43  0.262  1.14  273  0.09  0.20  0.08
2.43  0.262  1.14  308 -0.04  0.11  0.03
2.43  0.262  1.14  340 -0.09  0.09  0.01
2.53  0.319  0.16   19  0.07  0.07  0.01
2.53  0.319  0.16   50  0.10  0.09  0.01
2.53  0.319  0.16   88  0.16  0.17  0.03
2.53  0.319  0.16  240 -0.19  0.26  0.05
2.53  0.319  0.16  273 -0.24  0.17  0.07
2.53  0.319  0.16  309 -0.11  0.08  0.01
2.53  0.319  0.16  342  0.02  0.07  0.01
2.67  0.337  0.24   19  0.10  0.03  0.01
2.67  0.337  0.24   51  0.11  0.04  0.01
2.67  0.337  0.24   89  0.15  0.07  0.02
2.67  0.337  0.24  122  0.19  0.08  0.01
2.67  0.337  0.24  161  0.25  0.14  0.03
2.67  0.337  0.24  201 -0.25  0.11  0.06
2.67  0.337  0.24  238 -0.18  0.09  0.01
2.67  0.337  0.24  271 -0.28  0.07  0.02
2.67  0.337  0.24  309 -0.16  0.04  0.01
2.67  0.337  0.24  341 -0.08  0.03  0.01
2.67  0.350  0.46   20  0.04  0.03  0.01
2.67  0.350  0.46   51  0.13  0.03  0.01
2.67  0.350  0.46   90  0.18  0.06  0.02
2.67  0.350  0.46  126  0.19  0.06  0.03
2.67  0.350  0.46  162  0.25  0.07  0.03
2.67  0.350  0.46  202 -0.15  0.07  0.02
2.67  0.350  0.46  232 -0.21  0.08  0.03
2.67  0.350  0.46  271 -0.26  0.06  0.02
2.67  0.350  0.46  309 -0.18  0.04  0.01
2.67  0.350  0.46  340 -0.07  0.03  0.01
2.47  0.350  1.19   20  0.04  0.04  0.01
2.47  0.350  1.19   52  0.15  0.05  0.02
2.47  0.350  1.19   87  0.09  0.08  0.06
2.47  0.350  1.19  129  0.19  0.08  0.05
2.47  0.350  1.19  161  0.21  0.08  0.03
2.47  0.350  1.19  201 -0.19  0.08  0.03
2.47  0.350  1.19  236 -0.25  0.09  0.06
2.47  0.350  1.19  269 -0.19  0.06  0.04
2.47  0.350  1.19  308 -0.14  0.06  0.02
2.47  0.350  1.19  340 -0.07  0.03  0.01
3.15  0.415  0.27   19  0.00  0.00  0.00
3.15  0.415  0.27   51 -0.04  0.26  0.08
3.31  0.442  0.51   17 -0.02  0.04  0.01
3.31  0.442  0.51   52  0.13  0.06  0.02
3.31  0.442  0.51   89  0.27  0.09  0.04
3.31  0.442  0.51  124  0.27  0.11  0.03
3.31  0.442  0.51  155  0.07  0.31  0.08
3.31  0.442  0.51  207 -0.25  0.28  0.07
3.31  0.442  0.51  238 -0.18  0.13  0.05
3.31  0.442  0.51  271 -0.24  0.10  0.01
3.31  0.442  0.51  310 -0.23  0.06  0.01
3.31  0.442  0.51  342 -0.16  0.04  0.01
3.32  0.461  1.16   18  0.08  0.04  0.01
3.32  0.461  1.16   52  0.16  0.07  0.03
3.32  0.461  1.16   89  0.15  0.10  0.05
3.32  0.461  1.16  126  0.04  0.08  0.05
3.32  0.461  1.16  159  0.12  0.15  0.04
3.32  0.461  1.16  203  0.00  0.16  0.06
3.32  0.461  1.16  236 -0.30  0.10  0.06
3.32  0.461  1.16  269 -0.21  0.09  0.05
3.32  0.461  1.16  310 -0.25  0.07  0.03
3.32  0.461  1.16  342 -0.08  0.04  0.01
